,Server-RSSI-1,Server-RSSI-2,Server-Distance-1,Server-Distance-2
575,-40,-75,1.2,2.8
576,-50,-75,1.2,2.8
577,-50,-77,1.2,2.8
578,-40,-77,1.2,2.8
579,-40,-75,1.2,2.8
580,-50,-69,1.2,2.8
581,-50,-65,1.2,2.8
582,-50,-75,1.2,2.8
583,-45,-75,1.2,2.8
584,-45,-65,1.2,2.8
585,-39,-74,1.2,2.8
586,-50,-76,1.2,2.8
587,-39,-76,1.2,2.8
588,-39,-75,1.2,2.8
589,-39,-77,1.2,2.8
590,-45,-77,1.2,2.8
591,-45,-66,1.2,2.8
592,-51,-66,1.2,2.8
593,-51,-76,1.2,2.8
594,-39,-76,1.2,2.8
595,-39,-75,1.2,2.8
596,-50,-76,1.2,2.8
597,-50,-77,1.2,2.8
598,-39,-77,1.2,2.8
599,-39,-77,1.2,2.8
600,-38,-58,1.6,2.4
601,-39,-63,1.6,2.4
602,-39,-58,1.6,2.4
603,-46,-58,1.6,2.4
604,-46,-63,1.6,2.4
605,-39,-63,1.6,2.4
606,-39,-57,1.6,2.4
607,-46,-57,1.6,2.4
608,-46,-63,1.6,2.4
609,-39,-63,1.6,2.4
610,-39,-57,1.6,2.4
611,-46,-63,1.6,2.4
612,-46,-63,1.6,2.4
613,-46,-59,1.6,2.4
614,-38,-59,1.6,2.4
615,-38,-63,1.6,2.4
616,-39,-63,1.6,2.4
617,-39,-57,1.6,2.4
618,-46,-57,1.6,2.4
619,-46,-49,1.6,2.4
620,-38,-60,1.6,2.4
621,-38,-63,1.6,2.4
622,-38,-63,1.6,2.4
623,-38,-59,1.6,2.4
624,-38,-60,1.6,2.4
625,-38,-58,1.6,2.4
626,-39,-58,1.6,2.4
627,-39,-57,1.6,2.4
628,-46,-57,1.6,2.4
629,-46,-49,1.6,2.4
630,-38,-60,1.6,2.4
631,-38,-63,1.6,2.4
632,-46,-63,1.6,2.4
633,-46,-60,1.6,2.4
634,-39,-60,1.6,2.4
635,-39,-63,1.6,2.4
636,-39,-64,1.6,2.4
637,-39,-57,1.6,2.4
638,-46,-57,1.6,2.4
639,-46,-60,1.6,2.4
640,-39,-60,1.6,2.4
641,-39,-57,1.6,2.4
642,-46,-57,1.6,2.4
643,-47,-60,1.6,2.4
644,-47,-60,1.6,2.4
645,-47,-64,1.6,2.4
646,-39,-64,1.6,2.4
647,-39,-57,1.6,2.4
648,-39,-57,1.6,2.4
649,-39,-60,1.6,2.4
650,-39,-60,1.6,2.4
651,-39,-64,1.6,2.4
652,-39,-64,1.6,2.4
653,-39,-57,1.6,2.4
654,-39,-57,1.6,2.4
655,-39,-64,1.6,2.4
656,-39,-63,1.6,2.4
657,-39,-58,1.6,2.4
658,-46,-57,1.6,2.4
659,-46,-60,1.6,2.4
660,-39,-60,1.6,2.4
661,-39,-57,1.6,2.4
662,-46,-57,1.6,2.4
663,-46,-57,1.6,2.4
664,-39,-57,1.6,2.4
665,-39,-64,1.6,2.4
666,-39,-64,1.6,2.4
667,-39,-56,1.6,2.4
668,-39,-56,1.6,2.4
669,-39,-64,1.6,2.4
670,-39,-64,1.6,2.4
671,-39,-57,1.6,2.4
672,-47,-57,1.6,2.4
673,-47,-61,1.6,2.4
674,-38,-61,1.6,2.4
675,-38,-64,1.6,2.4
676,-39,-64,1.6,2.4
677,-39,-57,1.6,2.4
678,-46,-57,1.6,2.4
679,-47,-61,1.6,2.4
680,-38,-61,1.6,2.4
681,-38,-57,1.6,2.4
682,-46,-57,1.6,2.4
683,-46,-65,1.6,2.4
684,-38,-62,1.6,2.4
685,-39,-62,1.6,2.4
686,-39,-57,1.6,2.4
687,-46,-57,1.6,2.4
688,-47,-62,1.6,2.4
689,-38,-62,1.6,2.4
690,-38,-64,1.6,2.4
691,-39,-64,1.6,2.4
692,-39,-62,1.6,2.4
693,-38,-62,1.6,2.4
694,-38,-64,1.6,2.4
